"LICENSE","DBA","LOCATION ADDRESS","COUNTY","PHONE","Location 1"
"TV00222","PELICAN'S PUB","1684 W HWY 40","UINTAH","435-789-4689","1684 W HWY 40 VERNAL UT 84078 (40.44163434200004, -109.56192920899997)"
"RB00255","PIZZA HUT (PRICE)","212 S HWY 55","CARBON","435-637-6410","212 S HWY 55 PRICE UT 84501 (39.59562236000005, -110.79094170899998)"
"BE02563","DIAMOND CONCESSIONS @ UTAH STATE FAIRPARK","155 N 1000 W","SALT LAKE","801-988-2001","155 N 1000 W SALT LAKE CITY UT 84116 (40.77368047900006, -111.91973632499997)"
"CL01050","TUSCAN","23 E 100 NORTH","CARBON","435-637-4200","23 E 100 NORTH PRICE UT 84501 (39.60103748500006, -110.81094636199998)"
"RE01488","BUCA DI BEPPO (SALT LAKE) #4502","202 W 300 S","SALT LAKE","801-575-6262","202 W 300 S SALT LAKE CITY UT 84101 (40.76292853700005, -111.89717118999994)"
"BC00127","GREENWELL INN & CONVENTION CENTER","655 E MAIN","CARBON","435-637-3520","655 E MAIN PRICE UT 84501 (39.59957104100005, -110.79876196499998)"
"RL00550","TOASTERS","30 E 300 S","SALT LAKE","801-746-4444","30 E 300 S SALT LAKE CITY UT 84101 (40.768642741000065, -111.89973392099995)"
"BE02369","GOLF COURSE @ SAND HOLLOW RESORT","5662 W CLUBHOUSE DR","WASHINGTON","435-656-4653","5662 W CLUBHOUSE DR HURRICANE UT 84737 (37.114139659000045, -113.41212580699994)"
"RE02254","KLUB DEEN'S","161 S PUEBLO ST","SALT LAKE","385-252-1474","161 S PUEBLO ST SALT LAKE CITY UT 84104 (40.76581039400003, -111.93223397299994)"
"CL00052","EAGLES 3285 (WEST VALLEY CITY)","4565 W 3500 S","SALT LAKE","801-968-0851","4565 W 3500 S SALT LAKE CITY UT 84120 (40.69656286600008, -112.00027045299998)"
"RE02155","VERNAL BREWING COMPANY","55 S 500 E","UINTAH","435-781-2337","55 S 500 E VERNAL UT 84078 (40.455047679000074, -109.51901012599996)"
"TV00225","HOPPERS GRILL & BREWING COMPANY","890 E FT UNION BLVD","SALT LAKE","801-566-0424","890 E FT UNION BLVD MIDVALE UT 84047 (40.62206323800007, -111.86693877199997)"
"RE02083","CAFE SABOR (LOGAN)","600 W CTR ST","CACHE","435-752-8088","600 W CTR ST LOGAN UT 84321 (41.731152921000046, -111.81955118199994)"
"RE01422","P.F. CHANG'S CHINA BISTRO (OREM)","575 E UNIVERSITY PKWY","UTAH","480-888-3000","575 E UNIVERSITY PKWY OREM UT 84097 (40.273557907000054, -111.68164955199995)"
"CL00018","BLOOMINGTON COUNTRY CLUB","3174 S BLOOMINGTON DR E","WASHINGTON","435-673-4687","3174 S BLOOMINGTON DR E ST GEORGE UT 84790 (37.05597456300006, -113.60315898599998)"
"RL00378","ROMA RISTORANTE","5468 S 900 E","SALT LAKE","801-268-1017","5468 S 900 E SALT LAKE CITY UT 84117 (40.65289968400003, -111.86597416399997)"
"RE01848","WILD GRAPE","481 E S TEMPLE","SALT LAKE","801-746-5565","481 E S TEMPLE SALT LAKE CITY UT 84111 (40.76937761000005, -111.87720570799996)"
"RL00866","EVA'S BAKERY","155 S MAIN ST","SALT LAKE","801-355-3942","155 S MAIN ST SALT LAKE CITY UT 84111 (40.765730887000075, -111.89096384799996)"
"RL00872","MOKI'S","115 S HWY 276","GARFIELD","435-788-2110","115 S HWY 276 LAKE POWELL UT 84533 (37.51800721400008, -110.08778755699996)"
"CL00053","EAGLES 3355 (ROY)","5130 S 1700 W","WEBER","801-825-2363","5130 S 1700 W ROY UT 84067 (41.182982620000075, -112.02078267899998)"
"RE02201","BISTRO 222","222 S MAIN ST","SALT LAKE","801-456-0347","222 S MAIN ST SALT LAKE CITY UT 84101 (40.76451323600003, -111.89121867999995)"
"PS00006","AMTRAK","UNION PACIFIC DEPOT (400 W 100 S)","SALT LAKE","202-906-3346","UNION PACIFIC DEPOT (400 W 100 S) SALT LAKE CITY UT 84101 (40.76060713900006, -111.89735800399995)"
"RL00325","CLIFFSTONE","2900 W HWY 24","WAYNE","435-425-3322","2900 W HWY 24 TEASDALE UT 84773 (38.30555121900005, -111.49173573799999)"
"RE02095","WASATCH BROILER & GRILL (MIDVALE)","7662 UNION PARK AVE","SALT LAKE","801-255-9800","7662 UNION PARK AVE MIDVALE UT 84047 (40.611963209000066, -111.85461655899996)"
"BE01405","ROSE PARK GOLF COURSE","1386 N REDWOOD RD","SALT LAKE","801-328-8375","1386 N REDWOOD RD SALT LAKE CITY UT 84116 (40.79942015000006, -111.93915457799994)"
"RL00701","TASTE OF THAI (WEST JORDAN)","3763 W CENTER PARK DR","SALT LAKE","801-280-0863","3763 W CENTER PARK DR WEST JORDAN UT 84084 (40.61997299800004, -111.98036132799996)"
"RE02248","FROM SCRATCH","62 E GALLIVAN AVE","SALT LAKE","801-538-5090","62 E GALLIVAN AVE SALT LAKE CITY UT 84111 (40.76360656300005, -111.88914547399997)"
"RL00898","KICK N IT SPORTS GRILL","250 W STATE","UTAH",,"250 W STATE LEHI UT 84043 (40.40107517400003, -111.85349279499997)"
"RL00132","FLYING M","614 N MAIN","GARFIELD","435-676-8008","614 N MAIN PANGUITCH UT 84759 (37.83227098100008, -112.43577009899997)"
"CL00464","HOWDY'S HILLTOP TAVERN","5401 E HWY 40","UINTAH","435-722-2320","5401 E HWY 40 FORT DUCHESNE UT 84026 (40.30187111200007, -109.85014682199994)"
"AL00007","II VIAGGIO","SLC INTL AIRPORT TERMINAL 2","SALT LAKE","801-575-2609","SLC INTL AIRPORT TERMINAL 2 SALT LAKE CITY UT 84122 (40.776818354000056, -111.97948729799998)"
"RE01650","APPLEBEE'S (AMERICAN FORK)","313 N W STATE RD","UTAH","801-216-8200","313 N W STATE RD AMERICAN FORK UT 84003 (40.38365843500003, -111.81508148099999)"
"BC00118","BEN LOMOND SUITES HISTORIC HOTEL","2510 WASHINGTON BLVD","WEBER","801-627-1900","2510 WASHINGTON BLVD OGDEN UT 84401 (41.21998111900007, -111.97050355699997)"
"RE02284","KIMI'S CHOP & OYSTER HOUSE/THE WIRED WALRUS","2155 S HIGHLAND DR","SALT LAKE","801-946-2079","2155 S HIGHLAND DR SALT LAKE CITY UT 84106 (40.72399222000007, -111.85940657699996)"
"RL00832","DINOSAUR BREWHAUS","540 E MAIN ST","UINTAH","435-781-0717","540 E MAIN ST VERNAL UT 84078 (40.45582354000004, -109.51830036299998)"
"RL00849","FIREHOUSE PRESENTS BUBBAS B.B.Q.","565 E 2100 S","SALT LAKE","801-268-3374","565 E 2100 S SALT LAKE CITY UT 84106 (40.725478226000064, -111.87475008999996)"
"RB00143","MI RANCHERITO (SPANISH FORK) #3","242 N MAIN","UTAH","801-798-3313","242 N MAIN SPANISH FORK UT 84660 (40.112860685000044, -111.65473455299997)"
"RL00408","NOODLES & COMPANY (LAYTON) #706","748 W ANTELOPE DR","DAVIS","801-525-2257","748 W ANTELOPE DR LAYTON UT 84041 (41.089209190000076, -111.98025421099999)"
"CL01221","COLLIES SPORTS BAR & GRILL","738 MAIN ST","SUMMIT","978-886-5158","738 MAIN ST PARK CITY UT 84060 (40.64711960600005, -111.49789401799995)"
"RL00924","LISA'S COUNTRY KITCHEN","735 S MAIN","JUAB","435-623-7900","735 S MAIN NEPHI UT 84648 (39.697770750000075, -111.83602535499995)"
"RE01681","RED CLIFF","156 E MAIN","WAYNE",,"156 E MAIN TORREY UT 84775 (38.29899712100007, -111.41762693899994)"
"RE01930","LAS GLORIAS DRAPER, INC.","185 E 12300 S","SALT LAKE","801-727-0725","185 E 12300 S DRAPER UT 84020 (40.52678885100005, -111.88524010499998)"
"CL00229","BONGO","2965 HIGHLAND DR","SALT LAKE","801-466-1577","2965 HIGHLAND DR SALT LAKE CITY UT 84106 (40.70640220000007, -111.85308719199998)"
"RB00074","EASTSIDE DINER","4396 HARRISON BLVD","WEBER","801-621-2414","4396 HARRISON BLVD OGDEN UT 84403 (41.18313921300006, -111.94909416099995)"
"RL00145","ZION PONDEROSA RANCH RESORT","N FORK COUNTY RD","KANE","435-648-2700","N FORK COUNTY RD MT CARMEL UT 84755 (37.24222590000005, -112.67054738799999)"
"RL00466","SIMPLY SUSHI (WEST JORDAN)","7117 S REDWOOD RD","SALT LAKE","801-746-4445","7117 S REDWOOD RD WEST JORDAN UT 84084 (40.62207256500005, -111.93874525599995)"
"CL01196","SQUATTER'S PUB BREWERY","147 W BROADWAY","SALT LAKE","801-328-2329","147 W BROADWAY SALT LAKE CITY UT 84101 (40.76275630600003, -111.89531559399995)"
"RL00143","HO HO GOURMET","1504 S STATE","SALT LAKE","801-487-7700","1504 S STATE SALT LAKE CITY UT 84115 (40.73664739600008, -111.88826377299995)"
"RE00280","JEREMIAH'S @ HIGH COUNTRY INN, OGDEN","1307 W 12TH ST","WEBER","801-394-3273","1307 W 12TH ST OGDEN UT 84404 (41.24463303600004, -112.01193039299994)"
"RB00252","WINGER'S (LEHI)","380 N 850 E","UTAH","801-455-6138","380 N 850 E LEHI UT 84043 (40.39193030100006, -111.83691891399997)"
"RE00114","MILT'S STAGE STOP","HWY U14 (CEDAR CYN)","IRON","435-583-9344","HWY U14 (CEDAR CYN) CEDAR CITY UT 84720 (37.663739228000054, -113.09704878299999)"
"BC00026","DOUBLETREE SUITES","110 WEST 600 SOUTH","SALT LAKE","801-359-7800","110 WEST 600 SOUTH SALT LAKE CITY UT 84101 (40.75632826700007, -111.89490004299995)"
"RE02068","CALIFORNIA PIZZA KITCHEN (OREM)","575 E UNIVERSITY PKWY B28","UTAH","801-765-1777","575 E UNIVERSITY PKWY B28 OREM UT 84097 (40.273557907000054, -111.68164955199995)"
"CL00997","CENTER CIRCLE CLUB","9256 S STATE ST","SALT LAKE","312-664-8200","9256 S STATE ST SANDY UT 84070 (40.58408057200006, -111.89098689299999)"
"RE02063","CARVER'S (SANDY)","10720 S HOLIDAY PARK DR","SALT LAKE","801-572-5177","10720 S HOLIDAY PARK DR SANDY UT 84070 (40.556543341000065, -111.89561676199997)"
"RB00125","LD'S CAFE","39 W MAIN","CACHE","435-258-5135","39 W MAIN RICHMOND UT 84333 (41.92259302200006, -111.80976139599994)"
"RB00175","ROBINTINO'S (BOUNTIFUL)","1385 S 500 WEST","DAVIS","801-295-9502","1385 S 500 WEST BOUNTIFUL UT 84010 (40.87618170800005, -111.89218411399997)"
"RL00617","FUJI DRAGON","3701 WALL AVE","WEBER","801-779-3997","3701 WALL AVE OGDEN UT 84405 (41.196063038000034, -111.97948469799996)"
"CL00895","GOOD SPIRITS","999 W 3300 S","SALT LAKE","801-263-0411","999 W 3300 S SALT LAKE CITY UT 84119 (40.699392870000054, -111.91955080699995)"
"CL01093","METRO BAR","615 W 100 S","SALT LAKE","801-347-2238","615 W 100 S SALT LAKE CITY UT 84104 (40.76713321400007, -111.90887030699997)"
"CL00268","ELKS 2021 (MOAB)","647 CERMACK","GRAND","435-259-7334","647 CERMACK MOAB UT 84532 (38.552297198000076, -109.52510666099994)"
"RL00830","SAGEBRUSH GRILL","1345 S 350 W","SEVIER","435-527-4701","1345 S 350 W RICHFIELD UT 84701 (38.74931819900007, -112.09081069999996)"
"BE00594","BONNEVILLE GC","954 CONNER ST","SALT LAKE","801-521-7585","954 CONNER ST SALT LAKE CITY UT 84108 (40.74858298100003, -111.82925290699995)"
"BC00115","HERITAGE CATERING","1835 CONVENTION CTR DR","WASHINGTON","435-986-6670","1835 CONVENTION CTR DR ST GEORGE UT 84790 (37.07551034900007, -113.58348607799996)"
"RE02300","TONY PER NOI LLC","1588 STRATFORD AVE","SALT LAKE","801-486-3333","1588 STRATFORD AVE SALT LAKE CITY UT 84106 (40.715432633000034, -111.84511109799996)"
"RE01156","LA FRONTERA (TOOELE)","494 S MAIN","TOOELE","435-882-0000","494 S MAIN TOOELE UT 84074 (40.52101734100006, -112.29882551899999)"
"RL00280","CANTON CITY RESTAURANT","281 N MAIN","WASATCH","435-654-3338","281 N MAIN HEBER UT 84032 (40.51132989600006, -111.41344100899994)"
"RE02045","GOOD KARMA RESTAURANT","1782 PROSPECTOR AVE","SUMMIT","435-658-0958","1782 PROSPECTOR AVE PARK CITY UT 84060 (40.66198749800003, -111.49833995099999)"
"BE01702","FAT CATS","3739 S 900 E","SALT LAKE","801-685-2397","3739 S 900 E SALT LAKE CITY UT 84106 (40.69033017400005, -111.86548459199997)"
"RE02120","LA FOUNTAIN RESTAURANT","9103 S VILLAGE SHOP DR","SALT LAKE","801-727-7893","9103 S VILLAGE SHOP DR SANDY UT 84094 (40.58561505800003, -111.86308217399994)"
"RB00095","HECTOR'S MIRAMAR","342 W 1300 S","SALT LAKE","801-484-5737","342 W 1300 S SALT LAKE CITY UT 84111 (40.74161256200006, -111.90125987699997)"
"RL00688","EPIC BREWING COMPANY","825 S STATE ST","SALT LAKE","801-906-0123","825 S STATE ST SALT LAKE CITY UT 84111 (40.75116028300005, -111.88819491499999)"
"RE01714","MAZZA","912 E 900 S","SALT LAKE","801-521-4572","912 E 900 S SALT LAKE CITY UT 84105 (40.74976332700004, -111.86489468999997)"
"RE01754","WINDY RIDGE CAFE","1250 IRONHORSE DR","SUMMIT","435-647-0880","1250 IRONHORSE DR PARK CITY UT 84060 (40.659357991000036, -111.50172765999997)"
"BC00185","HYATT PLACE SLC AIRPORT","52 N TOMMY THOMPSON DR","SALT LAKE","801-363-1400","52 N TOMMY THOMPSON DR SALT LAKE CITY UT 84116 (40.77064767300004, -112.00242867699995)"
"RE01345","CHILI'S (WEST VALLEY -DECKER LK) #921","3403 DECKER LAKE DR","SALT LAKE","801-908-6006","3403 DECKER LAKE DR SALT LAKE CITY UT 84119 (40.69852981100007, -111.94714449999998)"
"RE02308","RED LOBSTER (OREM)","1261 S 800 E","UTAH","801-724-3500","1261 S 800 E OREM UT 84097 (40.27395198800008, -111.67604485299995)"
"RL00590","ATLANTIC CAFE MARKET","325 S MAIN","SALT LAKE","801-524-9900","325 S MAIN SALT LAKE CITY UT 84111 (40.76219063900004, -111.89094472)"
"CL00088","KOKOMO CLUB","216 25TH ST","WEBER","801-621-9991","216 25TH ST OGDEN UT 84401 (41.22075775700006, -111.97546067299999)"
"RL00895","CAPUTO'S HOLLADAY","4670 S 2300 E","SALT LAKE","801-272-0821","4670 S 2300 E SALT LAKE CITY UT 84117 (40.66936906900003, -111.82463264599994)"
"CL01003","BLUES AT THE DEPOT","400 W S TEMPLE","SALT LAKE","801-355-5522","400 W S TEMPLE SALT LAKE CITY UT 84101 (40.76943960800003, -111.90175653199998)"
"RL00074","BLEU BISTRO","1615 S FOOTHILL DR STE 9","SALT LAKE","801-583-8331","1615 S FOOTHILL DR STE 9 SALT LAKE CITY UT 84108 (40.73424805500008, -111.82085081499997)"
"CL00158","VFW 7398 (MAGNA)","9057 W 2700 SOUTH","SALT LAKE","801-250-7323","9057 W 2700 SOUTH MAGNA UT 84044 (40.710952561000056, -112.10756056499997)"
"CL00009","AMERICAN LEGION  71 (SOUTH SALT LAKE)","3419 S W TEMPLE","SALT LAKE","801-467-4711","3419 S W TEMPLE SALT LAKE CITY UT 84115 (40.69702032200007, -111.89396438999995)"
"RE01904","RED IGUANA 2","866 W S TEMPLE","SALT LAKE","801-322-1489","866 W S TEMPLE SALT LAKE CITY UT 84104 (40.76945851800008, -111.91614005299999)"
"BE02472","SNO CAP LANES OF EPHRAIM","605 S MAIN","SANPETE","435-283-4522","605 S MAIN EPHRAIM UT 84627 (39.34856654400005, -111.58904330599995)"
"RL00476","ESTE PIZZERIA","156 E 200 S","SALT LAKE","801-363-2366","156 E 200 S SALT LAKE CITY UT 84111 (40.764979984000036, -111.88628371599998)"
"BE02184","PEERY'S EGYPTIAN THEATER","2415 WASHINGTON BLVD","WEBER","801-689-8600","2415 WASHINGTON BLVD OGDEN UT 84401 (41.222343281000065, -111.97051927199999)"
"CL01188","SANDY STATION","8925 HARRISON ST","SALT LAKE","801-255-2078","8925 HARRISON ST SANDY UT 84070 (40.588739248000024, -111.89920381499996)"
"CL01277","LODGE BISTRO LOUNGE","9260 E LODGE DR","SALT LAKE","801-933-2145","9260 E LODGE DR SNOWBIRD UT 84092 (40.55808643200004, -111.82957591799999)"
"CL01099","LITTLE B'S","65 S VERNAL AVE","UINTAH","435-789-9963","65 S VERNAL AVE VERNAL UT 84078 (40.45476064200005, -109.52850386099999)"
"RE02013","SUNNY'S BISTRO","2333 W N TEMPLE","SALT LAKE","801-746-1688","2333 W N TEMPLE SALT LAKE CITY UT 84116 (40.77146348900004, -111.95698037799997)"
"RE02316","DS FOOD","4861 S STATE","SALT LAKE","801-266-2600","4861 S STATE MURRAY UT 84107 (40.66572075700003, -111.88827097499995)"
"BE02516","FOX HOLLOW GOLF CLUB","1400 N 200 E","UTAH","801-368-3610","1400 N 200 E AMERICAN FORK UT 84003 (40.40449344800004, -111.79032965399995)"
"TV00216","THE DOG HOUSE TAVERN","198 S 100 E","KANE","435-644-3636","198 S 100 E KANAB UT 84741 (37.044950683000025, -112.52640463399996)"
"RE02022","SLATE @ PROVO MARRIOTT","101 W 100 N","UTAH","801-370-3557","101 W 100 N PROVO UT 84601 (40.23509757200003, -111.66062673999994)"
"RB00076","EL BAMBI CAFE","935 N MAIN","BEAVER","435-438-2983","935 N MAIN BEAVER UT 84713 (38.28697888000005, -112.64140135599996)"
"RL00556","AROMA INDIAN CUISINE","715 E 12300 S","SALT LAKE","801-867-7222","715 E 12300 S DRAPER UT 84020 (40.526988465000045, -111.87080006799994)"
"BE01755","SNOWBASIN DAY LODGE","3295 E SNOWBASIN RD","WEBER","801-606-7524","3295 E SNOWBASIN RD HUNTSVILLE UT 84317 (41.23283219100006, -111.82248838099997)"
"RB00286","MARISCOS NOCHE FRESCA","4059 W 5415 S","SALT LAKE","801-664-5929","4059 W 5415 S SALT LAKE CITY UT 84118 (40.652754394000056, -111.98812812199998)"
"CL01087","ONE","180 W 400 S","SALT LAKE",,"180 W 400 S SALT LAKE CITY UT 84101 (40.76069772000005, -111.89626088699998)"
"CL00609","MARKET STREET OYSTER BAR - COTTONWOOD","2985 E COTTONWOOD PARKWAY","SALT LAKE","801-322-2020","2985 E COTTONWOOD PARKWAY SALT LAKE CITY UT 84121 (40.63190833300007, -111.80755592899999)"
"RL00864","ROYAL THAI CUISINE","568 W TELEGRAPH ST","WASHINGTON","435-251-9393","568 W TELEGRAPH ST WASHINGTON UT 84780 (37.12885227800007, -113.51907909899995)"
"CL00055","EAGLES 3823 (TREMONTON)","340 W MAIN","BOX ELDER","435-257-7511","340 W MAIN TREMONTON UT 84337 (41.71166783600006, -112.17079202999997)"
"BE02077","OQUIRRH HILLS GOLF COURSE","1255 E VINE ST","TOOELE","435-882-4220","1255 E VINE ST TOOELE UT 84074 (40.53184283300004, -112.27235675299994)"
"RE00653","GRAPPA","151 MAIN","SUMMIT","435-645-0636","151 MAIN PARK CITY UT 84060 (40.64071752800004, -111.49427239699997)"
"RL00665","MICHELANGELO'S ON MAIN","132 S MAIN ST","SALT LAKE","801-532-0500","132 S MAIN ST SALT LAKE CITY UT 84101 (40.76648769900004, -111.89119732999995)"
"CL01197","WASATCH BREW PUB & BREWERY","250 MAIN ST","SUMMIT","435-649-0900","250 MAIN ST PARK CITY UT 84060 (40.641726927000036, -111.49474137499999)"
"RE02073","IGGY'S SPORTS GRILL (ST GEORGE)","148 S 1470 E","WASHINGTON","435-673-3344","148 S 1470 E ST GEORGE UT 84790 (37.10572893900007, -113.55280196599995)"
"CL00034","COWBOY CLUB","31 E MAIN","CARBON","435-637-4223","31 E MAIN WELLINGTON UT 84542 (39.54243855200008, -110.73521020799996)"
"BE00477","BARN GOLF CLUB","305 W PLEASANT VIEW DR","WEBER","801-782-7320","305 W PLEASANT VIEW DR OGDEN UT 84414 (41.313076272000046, -111.98335610799995)"
"RE02164","HYATT PLACE / COTTONWOOD","3090 E 6200 S","SALT LAKE","801-890-1280","3090 E 6200 S SALT LAKE CITY UT 84121 (40.63818725400006, -111.81082621599995)"
"RE02294","BANDIT'S AMERICAN GRILL","3176 E 6200 S","SALT LAKE",,"3176 E 6200 S SALT LAKE CITY UT 84121 (40.63817748300005, -111.81067639499997)"
"RE01859","SPOTTED DOG CAFE","428 ZION PARK BLVD","WASHINGTON","435-772-0700","428 ZION PARK BLVD SPRINGDALE UT 84767 (37.19465859300004, -112.99301308899999)"
"RE00774","JOE BANDIDOS MEXICAN RESTAURANT","1435 N MAIN","UTAH","801-491-9347","1435 N MAIN SPRINGVILLE UT 84663 (40.18583354000003, -111.61068627599997)"
"RE02249","LA FOUNTAIN MEXICAN RESTAURANT","209 W 200 S","SALT LAKE","801-883-9255","209 W 200 S SALT LAKE CITY UT 84101 (40.76497268500003, -111.89733020499995)"
"RE02067","CALIFORNIA PIZZA KITCHEN (MURRAY)","6227 S STATE ST SPACE","SALT LAKE","801-290-1124","6227 S STATE ST SPACE SALT LAKE CITY UT 84107 (40.63545294700003, -111.88924678299998)"
"RE01354","DESERT BISTRO","36 S 100 W","GRAND","435-259-0756","36 S 100 W MOAB UT 84532 (38.572660893000034, -109.55274552299994)"
"RL00088","BONSAI JAPANESE STEAKHOUSE","875 E 9400 SOUTH","SALT LAKE","801-352-9288","875 E 9400 SOUTH SANDY UT 84094 (40.580623349000064, -111.86688564499997)"
"RL00562","KOI JAPANESE CUISINE & SUSHI BAR","466 N 900 W","UTAH","801-763-1388","466 N 900 W AMERICAN FORK UT 84003 (40.38778074000004, -111.82151782399995)"
"RE02189","MIMIS CAFE' (SANDY) #65","10470 S STATE ST","SALT LAKE","801-572-5451","10470 S STATE ST SANDY UT 84070 (40.561540782000066, -111.89096129399996)"
"BE02523","4TH STREET SOFTBALL PARK","502 WALL AVE","WEBER","801-629-8259","502 WALL AVE OGDEN UT 84401 (41.25548010800003, -111.97793760499997)"
"CL01225","ROCK & REILLY'S","427 MAIN ST","SUMMIT","435-655-2926","427 MAIN ST PARK CITY UT 84060 (40.64370424200007, -111.49591900699994)"
"RL00573","MIDORI SUSHI","5698 S 1900 W","WEBER","714-914-3532","5698 S 1900 W ROY UT 84067 (41.15975019600006, -112.02599399199994)"
"RE01045","LEFTY'S HIDEOUT","2107 N MAIN","IRON","435-586-4741","2107 N MAIN CEDAR CITY UT 84720 (37.552195925000035, -113.17502657999995)"
"RE01461","ERNESTO'S","929 W SUNSET BLVD","WASHINGTON","435-674-2767","929 W SUNSET BLVD ST GEORGE UT 84770 (37.12477385300048, -113.60297461999971)"
"CL00703","OUTFITTERS","3380 E RANCH CLUB TRAIL","SUMMIT","435-333-4219","3380 E RANCH CLUB TRAIL PARK CITY UT 84098 (40.74345930100003, -111.45708100599995)"
"CL01007","TIMPANOGOS TAVERN","1320 S DANIEL RD","WASATCH","435-654-0882","1320 S DANIEL RD HEBER CITY UT 84032 (40.49090015100006, -111.41455638799994)"
"RE01779","RIVER WALK GRILL","4210 S BLUEGRASS WAY","WASHINGTON","435-773-4111","4210 S BLUEGRASS WAY ST GEORGE UT 84790 (37.034164221000026, -113.61550631999995)"
"RL00669","JB'S OF PRICE","111 N 800 W","CARBON","435-637-1840","111 N 800 W PRICE UT 84501 (39.588065492000055, -110.81998788899995)"
"BE02566","SPARETIME LANES","5160 S 1900 WEST","WEBER","801-825-1621","5160 S 1900 WEST ROY UT 84067 (41.16979002800008, -112.02599399199994)"
"RB00132","LOS MACHETES 2","7718 MAIN ST","SALT LAKE","801-569-1094","7718 MAIN ST MIDVALE UT 84047 (40.61087919000005, -111.91031642099995)"
"RE02311","MOUNTAIN GRILL @ YARROW HOTEL","1800 PARK AVE","SUMMIT","435-649-7000","1800 PARK AVE PARK CITY UT 84060 (40.65967256400006, -111.50865863499996)"
"RE01405","MELTING POT","340 S MAIN","SALT LAKE","801-521-6358","340 S MAIN SALT LAKE CITY UT 84101 (40.76190992000005, -111.89123693899995)"
"CL00573","MADISON, THE","295 W CTR ST","UTAH","801-756-9666","295 W CTR ST PROVO UT 84601 (40.233653236000066, -111.66367049799999)"
"RE02211","TABLE ONE","201 HEBER AVE","SUMMIT","425-658-2500","201 HEBER AVE PARK CITY UT 84060 (40.64627844000006, -111.49661728999996)"
"RE02005","LA COSTA RESTAURANT (AMERICAN FORK)","852 E STATE RD","UTAH","801-553-1505","852 E STATE RD AMERICAN FORK UT 84003 (40.371363588000065, -111.77460642999995)"
"RE02023","ALLIE'S AMERICAN GRILL @ UNIVERSITY PARK MARRIOTT","480 WAKARA WAY","SALT LAKE","801-581-1000","480 WAKARA WAY SALT LAKE CITY UT 84108 (40.75839315600007, -111.82970163299996)"
"RE01549","MICHELANGELO'S","3005 S HIGHLAND DR","SALT LAKE","801-466-0961","3005 S HIGHLAND DR SALT LAKE CITY UT 84106 (40.705874711000035, -111.85286500399997)"
"RL00191","NOODLES & COMPANY (COTTONWOOD HEIGHTS) #703","6901 S 1300 E","SALT LAKE","801-565-7256","6901 S 1300 E MIDVALE UT 84047 (40.625997993000055, -111.85477401099996)"
"BE01233","OLD MILL GC CLUBHOUSE","6080 S WASATCH BLVD","SALT LAKE","385-468-1431","6080 S WASATCH BLVD SALT LAKE CITY UT 84121 (40.63741278400005, -111.79823512099995)"
"RL00265","CACTUS ROOM","771 W HWY 9","WASHINGTON","435-635-7872","771 W HWY 9 VIRGIN UT 84779 (37.20440344000008, -113.20221446199997)"
"CL00429","BENT NOTE GASTROPUB","22 E 200 S","DAVIS","801-773-9385","22 E 200 S CLEARFIELD UT 84015 (41.11081328600005, -112.02567254799999)"
"BC00103","HYATT SUMMERFIELD SUITES","9685 S MONROE","SALT LAKE","801-304-5700","9685 S MONROE SANDY UT 84070 (40.573215176000076, -111.89891724999995)"
"CL01240","BOUT TIME PUB & GRUB (PARK CITY)","6400 N HWY 224","SUMMIT",,"6400 N HWY 224 PARK CITY UT 84098 (40.72369274600004, -111.54466139299996)"
"BE00835","BONWOOD BOWL & TROPHY ROOM LOUNGE","2500 S MAIN","SALT LAKE","801-487-7758","2500 S MAIN SALT LAKE CITY UT 84115 (40.716000708000024, -111.89117701999999)"
"RL00560","IT'S TOFU","6949 S 1300 E","SALT LAKE","801-566-9103","6949 S 1300 E MIDVALE UT 84047 (40.625356526000076, -111.85492982099998)"
"RL00572","NEW AKASAKA RESTAURANT","3011 E 3300 S","SALT LAKE","801-485-5257","3011 E 3300 S SALT LAKE CITY UT 84109 (40.69989129700008, -111.80742010899996)"
"RE01111","DAVID'S KITCHEN","45 W 3300 S","SALT LAKE","801-463-0888","45 W 3300 S SALT LAKE CITY UT 84115 (40.69982843300005, -111.88952003899999)"
"CL01102","CEDAR SPRINGS MARINA","2685 N CEDAR SPIRNGS RD","DAGGETT","435-889-3795","2685 N CEDAR SPIRNGS RD DUTCH JOHN UT 84023 (40.88975808200007, -109.47475673799994)"
"RL00786","JIM'S FAMILY RESTAURANT","1728 W PARK AVE","SALT LAKE","801-446-7670","1728 W PARK AVE RIVERTON UT 84065 (40.51895706100004, -111.94011327599998)"
"RE01464","EDGE STEAKHOUSE AND DRAFTS @ WESTGATE RESORT","3000 CANYONS RESORT DR","SUMMIT","435-615-7530","3000 CANYONS RESORT DR PARK CITY UT 84098 (40.68480383000008, -111.55438578699994)"
"RL00393","THAI HOUSE RESTAURANT","297 N MAIN","TOOELE","435-882-7579","297 N MAIN TOOELE UT 84074 (40.53636132200006, -112.29848103599994)"
"RL00322","THAI PLACE & SUSHI","2 W ST GEORGE BLVD (ANCESTOR SQUAR","WASHINGTON","425-922-9583","2 W ST GEORGE BLVD (ANCESTOR SQUAR ST GEORGE UT 84770 (37.109978555000055, -113.58360015399995)"
"CL01074","DICK N' DIXIES","479 E 300 S","SALT LAKE","801-521-3556","479 E 300 S SALT LAKE CITY UT 84111 (40.762867466000046, -111.87712033399998)"
